project,revision_num,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,is_increased
couchbase-java-client,12050,0,1,1,0,0,0,1,1
couchbase-java-client,12150,0,0,0,0,0,0,0,0
couchbase-java-client,12151,1,0,0,0,0,0,1,0
couchbase-java-client,12159,0,0,0,0,0,0,0,0
couchbase-java-client,12160,0,0,0,0,0,0,0,0
couchbase-java-client,12285,0,0,1,0,0,0,1,0
couchbase-java-client,12674,0,0,0,0,0,0,0,0
couchbase-java-client,12690,0,0,0,0,0,0,0,0
couchbase-java-client,12907,0,1,1,0,0,0,1,0
couchbase-java-client,13046,0,1,0,1,0,0,1,0
couchbase-java-client,13082,0,0,1,1,0,0,1,0
couchbase-java-client,13083,0,1,1,0,0,0,1,1
couchbase-java-client,13085,0,1,1,0,0,0,1,0
couchbase-java-client,13373,0,0,0,1,0,0,1,0
couchbase-java-client,13394,0,0,0,1,0,0,1,0
couchbase-java-client,13688,0,1,0,1,1,0,1,1
couchbase-java-client,13847,0,0,1,1,0,0,1,0
couchbase-java-client,13848,0,1,1,1,0,0,1,0
couchbase-java-client,13849,0,1,1,0,0,0,1,0
couchbase-java-client,14485,0,1,0,1,0,0,1,0
couchbase-java-client,14513,0,0,0,0,0,0,0,0
couchbase-java-client,14562,0,0,0,1,0,0,1,0
couchbase-java-client,14574,1,0,0,0,0,0,1,0
couchbase-java-client,14959,0,1,0,0,0,0,1,0
couchbase-java-client,15462,0,0,0,1,0,0,1,0
couchbase-java-client,15953,0,0,0,1,0,0,1,0
couchbase-java-client,15954,0,0,0,1,0,0,1,0
couchbase-java-client,15955,0,0,0,1,0,0,1,0
couchbase-java-client,15956,0,0,0,0,0,0,0,0
couchbase-java-client,15957,0,0,0,1,0,0,1,0
couchbase-java-client,15958,0,0,0,1,0,0,1,0
couchbase-java-client,16337,0,1,0,1,0,0,1,1
couchbase-java-client,16338,0,1,0,1,0,0,1,0
couchbase-java-client,16703,0,0,1,1,0,0,1,0
couchbase-java-client,17742,0,0,0,1,0,0,1,0
couchbase-java-client,18094,0,1,1,1,0,0,1,1
