revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased
12050,Idd6454bd6574a9337528281df912f51a9fda52ad,http://review.couchbase.org/#/c/12050,5,2c9169e853fd0dafc3a4a7779cd557247fc0e1cf,e8b239ea0b461ff9937feb49a2bfd2d702e3ff52,1,04/01/12,09/01/12,337,Potential Refactoring of Java Client to couchbase-client and spymemcached,"Potential Refactoring of Java Client to couchbase-client and spymemcached

Refactoring changes summary:

Membase has been refactored to Couchbase and associated changes.
This is not final(so no ant checkstyle yet :-)), but, if deemed
OK, we can make it final.",0,1,1,0,0,0,1,12,1
12096,I391d2e967e56b01cd8d88e73a95e50549422873b,http://review.couchbase.org/#/c/12096,1,7c522712c469813187f0bc96ff59524a342f58e9,41c0830fa3dd8e3e3cc6d5a64394a1ff4b005e8e,0,06/01/12,09/01/12,2,Added option to selectively run tests for CI,"Added option to selectively run tests for CI

Change-Id: I391d2e967e56b01cd8d88e73a95e50549422873b",0,0,1,1,0,0,1,NA,NA
12150,Iad899a4593795737f8d74eb6b088168207f003a3,http://review.couchbase.org/#/c/12150,1,2851b8c49d7e40835d65f8fb9e9a9d46a2504165,ec3444b4900f4bacdd19d8cc46236c26bf87025b,1,08/01/12,09/01/12,115,Remove checks for Membase in test cases,"Remove checks for Membase in test cases

This client should always work with Membase and Couchbase
so we do not need to check the server type.

Change-Id: Iad899a4593795737f8d74eb6b088168207f003a3",0,0,0,0,0,0,0,0,0
12151,I2f2431194a1d417a8540e8fb5e5f1a93bdbe3b0a,http://review.couchbase.org/#/c/12151,1,c3e2056eeaf4a280a3fb0b28ff830af80b3bf421,fc09b0e45828bd9fe6aed87b28c9f832016b6fcc,1,09/01/12,09/01/12,8,When adding ops we now use enqueueOperation(),"When adding ops we now use enqueueOperation()

addOp() was removed from MemcachedClient and into memcachedConnection
and then renamed to enqueueOperation. This change makes it so we
now use the new function.

Change-Id: I2f2431194a1d417a8540e8fb5e5f1a93bdbe3b0a",1,0,0,0,0,0,1,0,0
12159,Ic23bc0599038893a8ae63d50bec3529a15cc6b1b,http://review.couchbase.org/#/c/12159,3,dde87ac47598706b502ddb87b5b1cf346243fc3f,63dc5d47ee913b5c98b094a7ec88e37444fa25bd,1,09/01/12,11/01/12,449,Refactored the tap client to run correctly,"Refactored the tap client to run correctly

When we originally broke up Spymemcached and created this
project we left the tap client in a broken state. This change
makes the tap client function correctly and reenables the test
cases that were commented out.

Change-Id: Ic23bc0599038893a8ae63d50bec3529a15cc6b1b",0,0,0,0,0,0,0,-3,0
12160,I9ec314dd2ac65cb904bed978710835135e2a0ac9,http://review.couchbase.org/#/c/12160,3,8814084de2471d192a3379ad6b5055e661b69250,029c152e52fd8636b12b0a6005f6962d8b21812d,1,09/01/12,11/01/12,82,More membase to couchbase refactoring changes,"More membase to couchbase refactoring changes

Changed some more occurences (affects javadocs and log messages)

Change-Id: I9ec314dd2ac65cb904bed978710835135e2a0ac9",0,0,0,0,0,0,0,0,0
12285,Ib6ec24de33ad897d81729dc87624c558fe6c1967,http://review.couchbase.org/#/c/12285,3,5de7dfa4e9b9e4801bbbc2f99bd5b4276ca4f2ca,6cf8bfc52d50a9edece5f17ff532a4fd606ad97e,1,11/01/12,15/01/12,6,Don't check for null ConnectionProvider on shutdown,"Don't check for null ConnectionProvider on shutdown

This should never be null in CouchbaseClient. It is leftover
code from the project split.

Change-Id: Ib6ec24de33ad897d81729dc87624c558fe6c1967",0,0,1,0,0,0,1,0,0
12384,I4d1cf095093f72f9de4b19ffa3c92dfc92d930c3,http://review.couchbase.org/#/c/12384,1,6cf8bfc52d50a9edece5f17ff532a4fd606ad97e,83e72a935f320d1b123e483614d466b43e91d279,0,15/01/12,15/01/12,0,Rename files used for pom file generation,"Rename files used for pom file generation

These files still had the membase in the name so I changed them to
have couchbase in the name.

Change-Id: I4d1cf095093f72f9de4b19ffa3c92dfc92d930c3",0,0,0,0,0,0,0,NA,NA
12576,Ib71d9ab41abd7fe4a396fc6e0cab8e56edc99e46,http://review.couchbase.org/#/c/12576,4,f7a5af2b1f5c891bc3022dc20a243c7bc5bf77b1,c9ef32bebd69bf2c26d8a80eb874a309d800090a,0,22/01/12,22/01/12,80,Changes to stage Maven repository locally,"Changes to stage Maven repository locally

    Added a target mvn-stage to stage repository to {user.home}/mvn-stage
    Based on http://draconianoverlord.com/2010/07/18/publishing-to-maven-repos-with-ivy.html

Change-Id: Ib71d9ab41abd7fe4a396fc6e0cab8e56edc99e46",0,1,0,0,0,0,1,NA,NA
12577,I34b46bc01ec94696dd7d75ea55e5fe5f471e00f5,http://review.couchbase.org/#/c/12577,3,e4a6672f7d66277381f7951451c454ab9f154136,58d1773ff7a5ff401cd115081f33d02cb80907b7,0,22/01/12,22/01/12,20,Corrected BuildInfo and other metadata.,"Corrected BuildInfo and other metadata.

Change-Id: I34b46bc01ec94696dd7d75ea55e5fe5f471e00f5",0,0,0,1,0,0,1,NA,NA
