revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased
36099,I13427850a7993962bc6fdaba61fe314087255ac8,http://review.couchbase.org/#/c/36099,1,64d5934defa7f91411d1497785f66f521f0bbf54,4a3d5230be1f14664ccd2b1a85f63a6061408f1e,1,21/04/14,21/04/14,422,Adding separate response handling through a ringbuffer,"Adding separate response handling through a ringbuffer

Change-Id: I13427850a7993962bc6fdaba61fe314087255ac8",1,0,0,1,0,0,1,0,0
36134,If4d81f09e6e001eefb45d0367f360ac1e8d6d0b8,http://review.couchbase.org/#/c/36134,1,4a3d5230be1f14664ccd2b1a85f63a6061408f1e,f5bb525ce3d15fea9f8597216911d133e89d8a0e,1,22/04/14,22/04/14,755,Make cccp bootstrap work basically.,"Make cccp bootstrap work basically.

Change-Id: If4d81f09e6e001eefb45d0367f360ac1e8d6d0b8",1,0,0,1,1,0,1,1,1
36204,I9a8cac402bfbc18e7e9b3cbdbb9ad25d788ea25c,http://review.couchbase.org/#/c/36204,1,f5bb525ce3d15fea9f8597216911d133e89d8a0e,adcb5a7bd0b8a4cc02ce4658ad4e257dfef7b9d9,1,23/04/14,23/04/14,1038,"rxjava upgrade, msg refactoring.","rxjava upgrade, msg refactoring.

Change-Id: I9a8cac402bfbc18e7e9b3cbdbb9ad25d788ea25c",1,0,0,1,1,0,1,0,0
36211,I8c123087f8af137882690b7c76c528211b477532,http://review.couchbase.org/#/c/36211,1,adcb5a7bd0b8a4cc02ce4658ad4e257dfef7b9d9,e328aaf754c1d49adf0f902fa1e383403074ba52,1,23/04/14,23/04/14,150,make it pick up new configs (add).,"make it pick up new configs (add).

Change-Id: I8c123087f8af137882690b7c76c528211b477532",1,0,0,1,0,0,1,0,0
36214,Ic9eca3834efe2506287157c81a7cb6fa1e23283b,http://review.couchbase.org/#/c/36214,1,e328aaf754c1d49adf0f902fa1e383403074ba52,717f42848f7251b734ba7add70ed95a4826e9691,1,23/04/14,23/04/14,803,more binary operators and some integration tests.,"more binary operators and some integration tests.

Change-Id: Ic9eca3834efe2506287157c81a7cb6fa1e23283b",1,0,0,1,1,0,1,1,1
36215,I44b4b9b8986bb5e19e4f786095c2aa353593beed,http://review.couchbase.org/#/c/36215,2,717f42848f7251b734ba7add70ed95a4826e9691,3f117c6d69311b42b2ef1aff76f1a4a6211e6c9b,1,23/04/14,23/04/14,196,adding remove and cas to responses.,"adding remove and cas to responses.

Change-Id: I44b4b9b8986bb5e19e4f786095c2aa353593beed",1,0,0,1,0,0,1,0,0
36291,Ie25691671ef0c15b4960f5e10e88ae543287dc92,http://review.couchbase.org/#/c/36291,1,3f117c6d69311b42b2ef1aff76f1a4a6211e6c9b,48191e88cd2c75816c40361a81152c0d643dc270,1,25/04/14,25/04/14,420,add very simple view capabilities (no streaming yet).,"add very simple view capabilities (no streaming yet).

Change-Id: Ie25691671ef0c15b4960f5e10e88ae543287dc92",1,0,0,1,0,0,1,0,0
36742,Idbede19e87676bc1d8a0b5088f5386e993ab3ffd,http://review.couchbase.org/#/c/36742,1,48191e88cd2c75816c40361a81152c0d643dc270,797e45e1f47674e66a3b0ee8dc4bba8d223e87e8,1,06/05/14,06/05/14,346,Make simple json stream parsing work for views.,"Make simple json stream parsing work for views.

Change-Id: Idbede19e87676bc1d8a0b5088f5386e993ab3ffd",1,0,0,1,0,0,1,2,1
36841,I9f237849444548c4460add058ca83b5c9da7e270,http://review.couchbase.org/#/c/36841,1,797e45e1f47674e66a3b0ee8dc4bba8d223e87e8,52b2faa19303d5c4cab5469c2dd74c2f530b5cf4,1,08/05/14,08/05/14,476,Adding the SASL handler.,"Adding the SASL handler.

Change-Id: I9f237849444548c4460add058ca83b5c9da7e270",1,0,0,1,0,0,1,0,0
36886,I27a30835102e706b9b9bd4724c962b784f105bdc,http://review.couchbase.org/#/c/36886,1,52b2faa19303d5c4cab5469c2dd74c2f530b5cf4,70fb16dff8567a2d3df9f470ef630a0cdcd859da,1,09/05/14,09/05/14,374,Make sasl auth work automatically.,"Make sasl auth work automatically.

Change-Id: I27a30835102e706b9b9bd4724c962b784f105bdc",1,0,0,1,0,0,1,0,0
36896,Ie9b1828812aac820c8821cdc7b5a1d8fdf848241,http://review.couchbase.org/#/c/36896,1,70fb16dff8567a2d3df9f470ef630a0cdcd859da,9dbd5806261900a58b35c5b29980f61ebe930164,1,09/05/14,09/05/14,284,Adding per-node services.,"Adding per-node services.

Change-Id: Ie9b1828812aac820c8821cdc7b5a1d8fdf848241",1,0,0,1,0,0,1,0,0
