revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased
10777,I657dd11be165221ee58acf251d9304a829f8916c,https://git.eclipse.org/r/#/c/10777,2,55fcccbfd6bcbfade0a387fda2ecc490a61475eb,5556b634389127039c0200c9657fad698133b1bf,0,01/03/13,05/03/13,0,Bug 401794 - overlay icon for symbolic links,"Bug 401794 - overlay icon for symbolic links

Use the flipped linked resource icon

Change-Id: I657dd11be165221ee58acf251d9304a829f8916c",1,0,1,0,0,0,1,NA,NA
10846,I7ca665801be7ba8a6272180606ffcc385ac61850,https://git.eclipse.org/r/#/c/10846,2,5556b634389127039c0200c9657fad698133b1bf,473563ad4b5d007a21d426807907947b26d7b853,1,05/03/13,05/03/13,8,Redundant else removed,"Redundant else removed

Change-Id: I7ca665801be7ba8a6272180606ffcc385ac61850",0,0,0,1,0,0,1,0,0
10860,Id3b90536d6f7afbcbfb5bc3a4cca8bff1df53627,https://git.eclipse.org/r/#/c/10860,7,6ee8a8ba9bb2e56baf6c808d533c67530cbc94c9,29102800c7e57a7c6d29097ee54e3204f5de42e2,1,05/03/13,04/04/13,82,Bug 374568 - Part menu is not rendered correctly after removing menu items,"Bug 374568 - Part menu is not rendered correctly after removing menu
items

Respond to incoming model changes.

Change-Id: Id3b90536d6f7afbcbfb5bc3a4cca8bff1df53627",1,1,0,0,0,0,1,1,1
10965,I6173fef319471b861618d7e0d8534cfb516cf5f1,https://git.eclipse.org/r/#/c/10965,2,ee1b6c2e1d67fbec6844331fcb8632ffad446622,b78ec0d5cd7556d57407d398b2e068dfea6b45c4,1,08/03/13,08/03/13,29,bug 266604: [KeyBindings] Import keyBindings does not work https://bugs.eclipse.org/bugs/show_bug.cgi?id=266604,"bug 266604: [KeyBindings] Import keyBindings does not work
https://bugs.eclipse.org/bugs/show_bug.cgi?id=266604",0,0,0,1,0,0,1,0,0
10967,I61f0b869b5d10d0a9ae71cf151fcfc3fc28bcbe7,https://git.eclipse.org/r/#/c/10967,4,17ed31253ed47333b2417dd1a23bc6029dbb77da,97e97aa8abaabec2b1e68665aa7c987d3442cc91,1,08/03/13,05/04/13,28,Bug 383992: Juno: calling getPartialMatches causes a stack overflow https://bugs.eclipse.org/bugs/show_bug.cgi?id=383992,"Bug 383992: Juno: calling getPartialMatches causes a stack overflow
https://bugs.eclipse.org/bugs/show_bug.cgi?id=383992",0,1,0,1,0,0,1,0,0
10993,I9f20ca549d1d83f2d56b59e9d912293a098a9945,https://git.eclipse.org/r/#/c/10993,1,39618aa48f5138f1a1f87c23a16de494297ca624,00ab25987aa50fb7757a4470a4e3cdf99a655f01,1,08/03/13,08/03/13,151,Bug 401933 - [Contexts] IContextFunction should receive the lookup key,"Bug 401933 - [Contexts] IContextFunction should receive the lookup key

Change to new IContextFunction#compute(IEclipseContext,String)",0,0,0,0,0,0,0,0,0
11055,I3075a5fafad91e3721c6c92db464ab50027deb04,https://git.eclipse.org/r/#/c/11055,2,cd1d64472905fe28bc97b1014abfe54fb6c22909,bb677431f9da51085ca5912ae0f8354b8aa3986e,1,11/03/13,11/03/13,26,Bug 391186 - Add restart() to IWorkbench,"Bug 391186 - Add restart() to IWorkbench

Change-Id: I3075a5fafad91e3721c6c92db464ab50027deb04",0,0,0,1,0,0,1,0,0
11058,Ie4c13a3e8c72f193e73b9ad70e12419ae638ea02,https://git.eclipse.org/r/#/c/11058,3,bb677431f9da51085ca5912ae0f8354b8aa3986e,d82040a634102243b629a28626bd937ebc335ae9,1,11/03/13,12/03/13,5540,bug 402764: Remove the MOpaque* model classes,"bug 402764: Remove the MOpaque* model classes

Note: All changes affect javadoc only:
* Mark MOpaque* and MRendered* as @noreference in the the model
* Add documentation nodes to all types and features in the model.
* Regenerate all interfaces to pick up new model doc comments",0,0,0,0,1,0,1,0,0
11059,Ia394130f1d815508146690eae38678840057c1d1,https://git.eclipse.org/r/#/c/11059,3,26f6222dee77c1eec3f2155438d78d35512dbbe2,c848d079f417f4e2b78736d479b21066d52976e1,1,11/03/13,12/03/13,222,bug 402781: [API] Extend the EModelService to provide factory capabilities for model elements,"bug 402781: [API] Extend the EModelService to provide factory
capabilities for model elements",0,0,0,1,0,0,1,2,1
11060,I663fb5b562932d5f2bb8b2caf0075eb86b6b7db8,https://git.eclipse.org/r/#/c/11060,1,a6a6037e255d5dc00005313e06bc241c8a72231c,f230bbd92f304e5c0bde3d869349b1e39a1a1e1f,1,11/03/13,11/03/13,22,Bug 248410 - [Wizards] Accessibility: User is not alerted to error message displayed in wizard dialog,"Bug 248410 - [Wizards] Accessibility: User is not alerted to error
message displayed in wizard dialog

Mark the status label as a live area and update it on text change.

Change-Id: I663fb5b562932d5f2bb8b2caf0075eb86b6b7db8",1,0,0,0,0,0,1,0,0
