revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased
1,Idde9bbaf73075825611601f2f741ec16e68cf08e,https://git.eclipse.org/r/#/c/1,1,72538fb943837eaba325d8494f92ca96561b9c79,210ad71040ac8fca36a04468fc1429500dca8114,0,02/10/09,02/10/09,7,Fix unexpected CoreException,"Fix unexpected CoreException

  ""org.eclipse.core.runtime.CoreException: No property tester contributes
  a property projectPersistentProperty org.eclipse.team.core.repository to
  type class org.eclipse.core.internal.resources.Project""

which was logged whenever the context menu was opened on a project.

The cause of the Exception was that the value of the ""property""
attribute of the test element was wrong. The method ""testProperty""
of org.eclipse.core.internal.propertytester.ResourcePropertyTester
takes both the property name and the property value from the ""args""
argument.  The value of the attribute ""property"" is used to determine
the type of the property.

The EGit UI behaviour is the same as before, but without the
exception in the Error log and with a cleaner plugin.xml.

Signed-off-by: Stefan Lay <stefan.lay@sap.com>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",0,0,0,0,0,0,0,NA,NA
11,Iaf5f8e497c70f7103caa0a6ab39a87c2d0476b52,https://git.eclipse.org/r/#/c/11,2,210ad71040ac8fca36a04468fc1429500dca8114,3ed4d5512663df0cfc71c88f8c69149dd8c2a32b,1,06/10/09,06/10/09,434,Add NON-NLS pseudo comment to technical Strings and trace messages,"Add NON-NLS pseudo comment to technical Strings and trace messages

""Trace messages"" means messages which are written to System.out,
either directly or via Activator.trace().

Human readable texts which may go to the UI do not get a pseudo
comment.  These include texts used in:
- Activator.logError
- Activator.error
- MessageDialog.openError
- Utils.handleError
- new Status

Signed-off-by: Stefan Lay <stefan.lay@sap.com>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",0,0,0,0,0,0,0,0,0
12,Id2a3a9d67c447c5a047e167d65d0c5e3bf2dd6ce,https://git.eclipse.org/r/#/c/12,1,f74bb49f8aff21f81bb4e379b47294c3b3092a09,2152a700326b022e3629d022dbe80b7f17b75b21,0,02/10/09,02/10/09,2,Externalized tooltip for Git index action is wrong,"Externalized tooltip for Git index action is wrong

Fix typo in a key.

Bug: 290788
Change-Id: Id2a3a9d67c447c5a047e167d65d0c5e3bf2dd6ce
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,0,0,0,0,1,NA,NA
38,I0ac15e8118b9e8f19dd4b2934cef11d7c1ca4a58,https://git.eclipse.org/r/#/c/38,2,5e0b37251de8d624ae00e9978297612344a9539c,91a1b36d0f2d726a7dcbfa651a6c2f3c81b340a0,0,06/10/09,06/10/09,13,"Removed unnecessary 'Everything is EPL' statements. When the project was stored in the same repository as JGit, this made sense. However, this only contains EPL code and the top of the notice already says as much.","Removed unnecessary 'Everything is EPL' statements.
When the project was stored in the same repository as JGit, this
made sense. However, this only contains EPL code and the top of
the notice already says as much.",0,0,0,1,0,0,1,NA,NA
60,I13a286001c27739b1b6aebfe564c115de4ab368e,https://git.eclipse.org/r/#/c/60,3,8d6155de2df41d57fd0bc81f94cac8bfc2f6394f,11b81e64fe25011c6a44cd39a1fd95661c99ddf7,1,16/10/09,16/10/09,110,Share a single project using Quick Access,"Share a single project using Quick Access

Implements sharing a single project using Quick Access with a keyboard
from the almost any place of the workspace:
- activate Quick Access (which is bound to Ctrl+3 by default)
- typing SWG (which means 'share with Git') will provide user with a list
  of all currently open projects not connected to any team provider
- 'Configure Git Repository' dialog with a selected project would be
  presented to user

Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,0,0
62,I47e8fd4a77083010cec880cd976d9e99a9e1ba5b,https://git.eclipse.org/r/#/c/62,3,43c5a6a10faef8fc59a1bca1fa14dc909b595be1,991e6c22f44700fcd00833f80d57e51f74082bd1,1,16/10/09,16/10/09,41,Dialog to select Git repository location is fixed:,"Dialog to select Git repository location is fixed:

- Method extracted to create a tree item with a git directory
- Prevents infinite loop if multiple repository mappings were found
- Removed break statement which prevents from inspecting upper levels
- Fixed logic to find an existing git repositories. It never searched
  parent directories for a linked resource or project itself due to an
  extra 'else' statement.
- Enabled repository creation if there is no '.git/' directory in the
  project's root.

Bug: #291303
Change-Id: I47e8fd4a77083010cec880cd976d9e99a9e1ba5b",0,0,0,0,0,0,0,0,0
70,I0f987d01623b2eef0e462fae95ac8e7717c1f79c,https://git.eclipse.org/r/#/c/70,2,64f824353fae89671e1ca55b0c157c16e5d3ca71,4b5dac3428f43e642741072fe581c42f843e666d,0,31/10/09,31/10/09,158,Remove trailing whitespaces when saving file,"Remove trailing whitespaces when saving file

'Save action' for java editor enabled and configured to remove all
trailing whitespaces. All other actions disabled. Actually only these are
significant:

  editor_save_participant_org.eclipse.jdt.ui.postsavelistener.cleanup=true
  sp_cleanup.remove_trailing_whitespaces=true
  sp_cleanup.remove_trailing_whitespaces_all=true
  sp_cleanup.remove_trailing_whitespaces_ignore_empty=false

But Eclipse needs all unused settings to be set to false explicitly.

Change-Id: I0f987d01623b2eef0e462fae95ac8e7717c1f79c
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,NA,NA
72,I62e069c42a2af17be3f97a82b5cf7d79b45ee2e6,https://git.eclipse.org/r/#/c/72,2,e84bbc6e13805ad84a237fd94acd7294de7f3783,4c2eb6869a7ff4f0f45d500173f5b94dcdc8af6e,0,16/10/09,16/10/09,38,Externalize remaining text strings,"Externalize remaining text strings

Change-Id: I62e069c42a2af17be3f97a82b5cf7d79b45ee2e6
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,1,0,0,1,NA,NA
76,Ic202fb67b80be93260974cde21d872a64a4561e6,https://git.eclipse.org/r/#/c/76,2,a3ab612fb5bc8cd143d76b036edc9a59a0c72ab8,1ed19e02555807935b7029655c3de0bad154d1b6,1,03/12/09,03/12/09,138,Added .gitignore action,"Added .gitignore action

This adds .gitignore to the object contribution menu, and adds
the highlighted elements to the .gitignore file

Fixes bug 291133

Signed-off-by: Alex Blewitt <alex.blewitt@gmail.com>",0,0,0,0,0,0,0,0,0
83,I6f6cd55a482cff769a5059c8e8362ce2102b5f3c,https://git.eclipse.org/r/#/c/83,2,08c46ed0ac13353799ffcb23b5e7f29b0b7dfa28,ba023d4c4c8bc85f406ecff2691a4f516596b535,0,01/11/09,01/11/09,10,Make a comment which describes a precondition public,"Make a comment which describes a precondition public

As user responsibile to assert that parameter which is passed to this
method is valid it is reasonable to make this info available in a
documentation.

Change-Id: I6f6cd55a482cff769a5059c8e8362ce2102b5f3c
Signed-off-by: Mykola Nikishov <mn@mn.com.ua>",0,0,0,0,0,0,0,NA,NA
