revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased
3,I908e4c77e3630dc3223b2d2a47cb4534dbe4ed42,https://git.eclipse.org/r/#/c/3,2,caf3d1bc32acae3c7312302a096459babf20f87c,b7b967b24e3f69275bf386244fbcd1e1eb549354,1,05/10/09,10/03/10,153,Add support for logAllRefUpdates configuration parameter,"Add support for logAllRefUpdates configuration parameter

Honor the configuration parameter core.logAllRefUpdates when writing
reflogs.  Instead of writing reflog entries always only write
reflogs if this parameter is set to true or if the corresponding
file in the <git-dir>/logs directory already exists. In other words:
if you are updating a ref and this parameter is set to false and
there is no file corresponding to your ref in the <git-dir>/logs
folder then no reflog will be written.

This is a fix for the issue http://code.google.com/p/egit/issues/detail?id=4

Change-Id: I908e4c77e3630dc3223b2d2a47cb4534dbe4ed42
Signed-off-by: Matthias Sohn <matthias.sohn@sap.com>
Signed-off-by: Christian Halstrick <christian.halstrick@sap.com>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",0,0,0,0,0,0,0,1,1
4,I5d45aec7873af76a12170d9a500626a7264f2c42,https://git.eclipse.org/r/#/c/4,1,4caf5870af48b5273e99b614872d8dd91302bc50,ee02e27dcfc0a1f979df5288b3de394e454a94cb,1,01/10/09,10/03/10,41,Include description for missing bundle prereqs,"Include description for missing bundle prereqs

When throwing MissingBundlePrerequisiteException we
also include the short description, if available, of
each missing object.

This is the fix for the following issue:
http://code.google.com/p/egit/issues/detail?id=25

Change-Id: I5d45aec7873af76a12170d9a500626a7264f2c42
Signed-off-by: Sasa Zivkov <sasa.zivkov@sap.com>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,0,0,0,0,1,0,0
5,I14a07124441b58cd88c67da088ba52ef9c30b043,https://git.eclipse.org/r/#/c/5,2,b37310bde3c8a36e3abef3e52e5c4b783464f2e7,e8cbf801c81bc9e3ea2132df875fe8513fce8399,1,02/10/09,10/03/10,20,Make it possible to clear a PlotCommitList,"Make it possible to clear a PlotCommitList

This allows SwingGraphPanes to be reused by simply clearing and
re-filling. Requires RevObjectList initialization to not call clear()
from its constructor, because this will lead PlotCommitList.clear()
to be called before all variables have been initialized.

Change-Id: I14a07124441b58cd88c67da088ba52ef9c30b043
Signed-off-by: Jonas Fonseca <fonseca@diku.dk>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,0,0,0,0,1,0,0
6,Iea871443ec661230aec92397229f1eda6c74216f,https://git.eclipse.org/r/#/c/6,2,ea5d68ce931a723071854d0def906fea0d73337a,7dc4c4684095a53e2c71ac2ea9149dcf6d58fcf9,1,06/10/09,24/06/13,39,Add set to IntList,"Add set to IntList

Some applications may wish to modify an int list.

Bug: 291083
Change-Id: Iea871443ec661230aec92397229f1eda6c74216f
Signed-off-by: Johannes Schindelin <johannes.schindelin@gmx.de>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,1,0,0,0,1,0,0
7,Id873e7c2c204692cb4a1a05d24b733154b9ed49c,https://git.eclipse.org/r/#/c/7,2,1c35c49f40d677f9cb5bc62aae9e8fa7eb62bbb7,04293fae59b05373164e329e551bedb5d61bb89a,0,06/10/09,24/06/13,469,Add Myers' algorithm to generate diff scripts,"Add Myers' algorithm to generate diff scripts

Myers' algorithm is the standard way to generate diff scripts in
an efficient manner (especially memory-wise).

The source contains extensive documentation about the principal
ideas of the algorithm.

Bug: 291083
Change-Id: Id873e7c2c204692cb4a1a05d24b733154b9ed49c
Signed-off-by: Johannes Schindelin <johannes.schindelin@gmx.de>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",0,0,1,0,0,0,1,NA,NA
8,I5a10946637438052e7596489b9f9de3a0c6b2066,https://git.eclipse.org/r/#/c/8,2,91f2cb67978411230ff09a25dfc39d55374e171c,6097cda69617ec152150f154ebc26488cd16cd8a,1,06/10/09,24/06/13,109,Add a test class for Myers' diff algorithm,"Add a test class for Myers' diff algorithm

Bug: 291083
Change-Id: I5a10946637438052e7596489b9f9de3a0c6b2066
Signed-off-by: Johannes Schindelin <johannes.schindelin@gmx.de>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,1,0,0,0,1,0,0
9,Ia02f346a96b5f1e24f8bc9676bd428b968a41222,https://git.eclipse.org/r/#/c/9,2,e6459e33c2f1f2504523bb9ddeb86ed87b649403,9e3fd01f61f195beba8fb45b38076be0e7ddda0e,1,06/10/09,24/06/13,28,Prepare RawText for diff-index and diff-files,"Prepare RawText for diff-index and diff-files

Bug: 291083
Change-Id: Ia02f346a96b5f1e24f8bc9676bd428b968a41222
Signed-off-by: Johannes Schindelin <johannes.schindelin@gmx.de>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,1,0,0,0,1,0,0
10,If8d187e70a51f31040f99098489e513791dc6415,https://git.eclipse.org/r/#/c/10,2,4214e36e9520547c870598fb2a168c2f5250036c,73fb230014be4f77c796d11d0c7f45ce4c587e3b,1,06/10/09,24/06/13,143,"Add the ""jgit diff"" command","Add the ""jgit diff"" command

This commit contains fixes provided by Christian Halstrick.

Bug: 291083
Change-Id: If8d187e70a51f31040f99098489e513791dc6415
Signed-off-by: Johannes Schindelin <johannes.schindelin@gmx.de>
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,1,0,0,0,1,0,0
14,I057c782cc66c44f11ed2ff2b4b4ca9cc82c7426a,https://git.eclipse.org/r/#/c/14,3,bf549a2274394878a485ab9108898ee48ef9a8e8,6144f630038c831dbcdf483c49afdf953fb01d4f,1,03/11/09,10/03/10,212,Delete obsolete JarLinkUtil,"Delete obsolete JarLinkUtil

Since we are now using the maven-shade-plugin to flatten out our
dependencies into a single stand-alone JAR we no longer need to
use our own command line utility.

Change-Id: I057c782cc66c44f11ed2ff2b4b4ca9cc82c7426a
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",1,0,0,0,0,0,1,0,0
17,I282ee1c6a637a8654df93a3847507a6c60e4cfab,https://git.eclipse.org/r/#/c/17,3,71f99163253bf19d4ebcb9ce9900b57f036423e4,bdfeb5e9b449c1165fc256aa82f364d6daa8c2b3,0,05/10/09,10/03/10,28,Remove useless test005_todopack test,"Remove useless test005_todopack test

This test doesn't work because it requires a pack file which we have
lost to the ages.  We couldn't include it because the pack was actually
a copy of the GPL'd C git.git project, and was there to test some sort
of corner case that the test never documented properly.

Change-Id: I282ee1c6a637a8654df93a3847507a6c60e4cfab
Signed-off-by: Shawn O. Pearce <spearce@spearce.org>",0,0,0,0,0,0,0,NA,NA
