revision_num,change_id,url,iteration_count,before_commit_id,after_commit_id,at_least_one_updated_java_file,T(created),T(merged),LOC changed,subject,message,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,code_smells_difference_count,is_increased,
25,I0d275a824017865714af23abbb0eb61418d5d116,http://review.couchbase.org/#/c/25,4,5d165c55aadfc3b05b374faf65f26edc361f9715,8779771d7e6a113573b491e4aaa5ea4cd2f2196c,1,07/05/10,27/05/10,102,Move continuous timeout counter to individual connections.,Move continuous timeout counter to individual connections.,0,1,1,1,0,0,1,1,1,
269,I68fc5e9dea99a25e708808f14c8d0a58bd314336,http://review.couchbase.org/#/c/269,1,8779771d7e6a113573b491e4aaa5ea4cd2f2196c,6ebf25ebf68ca8b325be29ea6a0ae862301863cb,1,02/06/10,02/06/10,3,"Use a private static final byte array for ""\r\n"" instead of always converting the string into a byte array.","Use a private static final byte array for ""\r\n"" instead of always
converting the string into a byte array.",0,0,0,1,0,0,1,0,0,
290,I214f4fe0edb07c821f139b61526a2547d9772324,http://review.couchbase.org/#/c/290,1,a8e35f9442b887e3277a85dd552fd8e59d89af70,1d95ff114cac9622765b64239097b3e38ab1ed91,1,03/06/10,03/06/10,1,No need to call MessageDigest#reset() on a brand new MessageDigest.,"No need to call MessageDigest#reset() on a brand new MessageDigest.

Change-Id: I214f4fe0edb07c821f139b61526a2547d9772324",0,0,0,1,0,0,1,0,0,
292,If72e112e93014631767ed68d758728f372e9a7d8,http://review.couchbase.org/#/c/292,2,1d95ff114cac9622765b64239097b3e38ab1ed91,e12f90f541b5ae34a9c49b40ab49ddca79b7b479,1,04/06/10,08/06/10,16,It is faster to clone an existing MD5 MessageDigest that has never been updated than it is to get a fresh one using MessageDigest.getInstance().,"It is faster to clone an existing MD5 MessageDigest that
has never been updated than it is to get a fresh one using
MessageDigest.getInstance().

Change-Id: If72e112e93014631767ed68d758728f372e9a7d8",0,0,1,1,0,0,1,0,0,
416,Ibdbbf79455c2e497ae7e121bd88a4f260e24fa54,http://review.couchbase.org/#/c/416,1,e12f90f541b5ae34a9c49b40ab49ddca79b7b479,0a4d82b2282937f1d116c7958afc52e90fe5dbed,1,12/06/10,12/06/10,4,Delete a duplicate unit test.,"Delete a duplicate unit test.

Change-Id: Ibdbbf79455c2e497ae7e121bd88a4f260e24fa54",0,0,0,1,0,0,1,0,0,
561,I34921695bec8bea5f4b8b0bace13951a41b3230a,http://review.couchbase.org/#/c/561,1,0a4d82b2282937f1d116c7958afc52e90fe5dbed,15251dcd9f2f7259bb64a7ccc1c3a2a7091ae726,1,15/06/10,15/06/10,4,Fix compilation with JDK 1.5.,"Fix compilation with JDK 1.5.

Don't use methods and enum's that only exist in JDK 1.6.

The changes successfully compile and the unit tests pass with JDK 1.6,
but with 1.5 I consistently get a unit test failure here:

    [junit] Testcase: testSimpleLoading took 0.265 sec
    [junit] 	      Caused an ERROR
    [junit] java.lang.RuntimeException: blah
    [junit] java.util.concurrent.ExecutionException: java.lang.RuntimeException: blah
    [junit] 					     at net.spy.memcached.internal.ImmediateFuture.<init>(ImmediateFuture.java:25)
    [junit] 					     at net.spy.memcached.util.CacheLoaderTest.testSimpleLoading(CacheLoaderTest.java:48)
    [junit] 					     at org.jmock.core.VerifyingTestCase.runBare(VerifyingTestCase.java:39)
    [junit] Caused by: java.lang.RuntimeException: blah
    [junit]
    [junit] TEST net.spy.memcached.util.CacheLoaderTest FAILED
    [junit] Tests FAILED
The following tests failed:
net.spy.memcached.util.CacheLoaderTest

Change-Id: I34921695bec8bea5f4b8b0bace13951a41b3230a",0,0,0,0,0,0,0,0,0,
563,I3bac849cee69fd6b57b20139832193b97975f6f6,http://review.couchbase.org/#/c/563,4,39578c6f0cf2348a8eea477c772e79836e17459e,94d3535364dd4303c8afbef4f4712e385ee30a65,1,15/06/10,16/06/10,180,support for getSome,support for getSome,0,1,0,1,0,0,1,0,0,
630,I54930eb03f5c07fc6966f8d4d5db42548c63f6bd,http://review.couchbase.org/#/c/630,5,365bd65f05617f5d3c502e864beff822ba8a5d76,09573f87f51ba0fdea112590da6618668d15beac,1,17/06/10,17/06/10,18,plug potential file descriptor leak,"plug potential file descriptor leak

There is a problem in open/connect sequence that may produce file descriptor leaks in some abnormal conditions:
First, SocketChannel.open() is called, then ch.connect(a.getSocketAddress()) is called and it may throw an IOException under certain conditions.
Then we catch exception and re-queue the node. This will produce a leak since the channel was not closed.
	The problem surfaced because of some faulty changes that I made and which I fixed. But it's nevertheless a problem.
This is the Sun  bug reference. http://bugs.sun.com/view_bug.do?bug_id=6548464
They fixed it in a helper method that opens/connects in a single call. But in our case the client needs to take care of it.

One more small unrelated change is to catch and unchecked exception and log an error:
it is a serious case because the node will be essentially lost and never re-queued.",0,1,0,0,0,0,1,1,1,
919,I7e0f74da72214cbe4c72cd693ee11461138f172b,http://review.couchbase.org/#/c/919,1,5f4ee1902db1e5996e114f79a6b2f9dbd3f2dd1e,ba4f9553ea0e60ac537ef3206135c5a57f9ca844,1,26/06/10,26/06/10,14,Some minor fixes to make eclipse happy with the code again.,"Some minor fixes to make eclipse happy with the code again.

- Removed @Override annotations where there are no overrides.
- Renamed a couple of variables that were shadowing fields.",1,0,0,0,0,0,1,0,0,
920,I28b58a9e1832abedfd8e4177bb38e5cdac158bcb,http://review.couchbase.org/#/c/920,1,ba4f9553ea0e60ac537ef3206135c5a57f9ca844,ba10e69e724263df62872bada39751650f3f42fb,1,26/06/10,26/06/10,39,Support daemon mode for TranscodeService threads.,"Support daemon mode for TranscodeService threads.

Change-Id: I28b58a9e1832abedfd8e4177bb38e5cdac158bcb",1,0,0,1,0,0,1,0,0,
935,Ica58e45f3e0e49a72c7a7a8743bf9180ea9cb7ed,http://review.couchbase.org/#/c/935,1,ba10e69e724263df62872bada39751650f3f42fb,2ebb064795f88f42f1dada9359bcf07ba4c2fd0a,1,28/06/10,30/06/10,67,Add an iterator that returns a single element forever.,"Add an iterator that returns a single element forever.

This iterator will be used to add a version of asyncGetBulk() that
allows per-key transcoders to be used.  To efficiently allow the
normal use of multiple keys with a single transcoder, instead of
creating an array or list of identical transcoders, other
asyncGetBulk() methods will create a SingleElementInfiniteIterator
instead.

Change-Id: Ica58e45f3e0e49a72c7a7a8743bf9180ea9cb7ed",0,0,0,0,0,0,0,0,0,
936,Ie4697bc3f9923e7c2ba981ca334b0df9d1ab7315,http://review.couchbase.org/#/c/936,1,2ebb064795f88f42f1dada9359bcf07ba4c2fd0a,c6889c15ae43a670a15661374277e79977ccc4ef,1,28/06/10,30/06/10,134,Allow per-key transcoders to be used with asyncGetBulk().,"Allow per-key transcoders to be used with asyncGetBulk().

This change allows the transcoder to save state for each key.  An
example is shown in the unit test that encodes into the byte array
sent to the memcached server the key along with the value.  Upon
decoding a value from memcached, the actual and expected keys are
compared.

Change-Id: Ie4697bc3f9923e7c2ba981ca334b0df9d1ab7315",0,0,0,0,0,0,0,1,1,
999,Ic0e3d14c8d7ff7001c3440683fa4274b119e4d31,http://review.couchbase.org/#/c/999,2,0f20e20f3a9c78ba6982502b283365a05754af7d,18f7c34606bfc33d7b61a3f9cb16f1b41b1f4436,1,01/07/10,18/07/10,57,support timeout based disconnects for bulk ops,"support timeout based disconnects for bulk ops

Refactored some repeating logic into helper methods,
track continuous timeouts from bulk operations,
log at warning.",0,0,1,0,0,0,1,-1,0,
